id,Product,ProductCategory,SalesRep,Units,Cost,Region
1239,Xerox 1979,Paper,Mark Cousins,40965,30.98,British Columbia
1240,Xerox 1894,Paper,Lena Hernandez,41286,6.48,British Columbia
1241,3M Organizer Strips,Binders and Binder Accessories,Shahid Shariari,41412,5.4,British Columbia
1242,3M Hangers With Command Adhesive,Office Furnishings,Khloe Miller,41569,3.7,British Columbia
1243,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Bill Eplett,41633,122.99,British Columbia
1244,Canon imageCLASS 2200 Advanced Copier,Copiers and Fax,Tony Chapman,41895,3499.99,British Columbia
1245,T28 WORLD,Telephones and Communication,Bill Eplett,42112,195.99,British Columbia
1246,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Telephones and Communication,Shahid Hopkins,42177,28.99,British Columbia
1247,DAX Solid Wood Frames,Office Furnishings,Shahid Hopkins,42177,9.77,British Columbia
1248,Xerox 1993,Paper,Cathy Armstrong,42339,6.48,British Columbia
1249,Xerox 1907,Paper,Bill Eplett,42342,12.28,British Columbia
1250,Imation DVD-RAM discs,Computer Peripherals,Patrick O'Brill,42947,35.41,British Columbia
1251,Fellowes 17-key keypad for PS/2 interface,Computer Peripherals,Giulietta Weimer,43079,30.73,British Columbia
1252,GBC DocuBind P100 Manual Binding Machine,Binders and Binder Accessories,Sally Knutson,43111,165.98,British Columbia
1253,Xerox 1974,Paper,Marc Harrigan,43140,5.98,British Columbia
1254,Serrated Blade or Curved Handle Hand Letter Openers,"Scissors, Rulers and Trimmers",John Grady,44098,3.14,British Columbia
1255,"Seth Thomas 12"" Clock w/ Goldtone Case",Office Furnishings,Khloe Miller,44451,22.98,Nova Scotia
1256,Panasonic KP-150 Electric Pencil Sharpener,Pens & Art Supplies,Tony Chapman,45059,37.74,Nova Scotia
1257,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Storage & Organization,Tony Chapman,45059,95.43,Nova Scotia
1258,ACCOHIDE® Binder by Acco,Binders and Binder Accessories,Ralph Kennedy,45155,4.13,Nova Scotia
1259,Serrated Blade or Curved Handle Hand Letter Openers,"Scissors, Rulers and Trimmers",Ralph Kennedy,45155,3.14,Nova Scotia
1260,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Trudy Schmidt,45317,39.24,Nova Scotia
1261,Hand-Finished Solid Wood Document Frame,Office Furnishings,Trudy Schmidt,45317,34.23,Nova Scotia
1262,Xerox 1894,Paper,Gene Hale,45731,6.48,Nova Scotia
1263,Accessory20,Telephones and Communication,Gene Hale,45731,85.99,Nova Scotia
1264,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Computer Peripherals,Sarah Bern,46849,8.33,Nova Scotia
1265,3M Polarizing Light Filter Sleeves,Office Furnishings,Justin Hirsh,47108,18.65,Nova Scotia
1266,Canon P1-DHIII Palm Printing Calculator,Office Machines,Justin Hirsh,47108,17.98,Nova Scotia
1267,Xerox 1896,Paper,Justin Hirsh,47108,9.99,Nova Scotia
1268,2180,Telephones and Communication,Justin Hirsh,47108,175.99,Nova Scotia
1269,GBC VeloBinder Strips,Binders and Binder Accessories,Liz Price,47520,7.68,Nova Scotia
1270,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,Liz Price,47520,291.73,Nova Scotia
1271,Xerox Blank Computer Paper,Paper,Liz Price,47520,19.98,Nova Scotia
1272,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Greg Maxwell,47527,243.98,Nova Scotia
1273,8890,Telephones and Communication,Marc Harrigan,47713,115.99,Nova Scotia
1274,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Storage & Organization,Sally Knutson,47750,167.27,Nova Scotia
1275,Novimex Fabric Task Chair,Chairs & Chairmats,Giulietta Weimer,48452,60.98,Nova Scotia
1276,U.S. Robotics 56K Internet Call Modem,Computer Peripherals,Giulietta Weimer,48452,99.99,Nova Scotia
1277,"Eldon® Image Series Desk Accessories, Burgundy",Office Furnishings,Giulietta Weimer,48452,4.18,Nova Scotia
1278,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Binders and Binder Accessories,Giulietta Weimer,48452,4.91,Nova Scotia
1279,Binder Clips by OIC,Rubber Bands,Giulietta Weimer,48452,1.48,Nova Scotia
1280,"Imation Neon Mac Format Diskettes, 10/Pack",Computer Peripherals,Kristina Nunn,49088,8.12,Nova Scotia
1281,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,Kristina Nunn,49088,279.48,Nova Scotia
1282,Xerox 1893,Paper,Kristina Nunn,49088,40.99,Nova Scotia
1283,Staples File Caddy,Storage & Organization,Chuck Clark,49223,9.38,Nova Scotia
1284,Belkin 6 Outlet Metallic Surge Strip,Appliances,Sally Knutson,49634,10.89,Nova Scotia
1285,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,Sally Knutson,49634,28.48,Nova Scotia
1286,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Bookcases,Tanja Norvell,49987,114.98,Nova Scotia
1287,Bush Advantage Collection® Round Conference Table,Tables,Tanja Norvell,49987,212.6,Nova Scotia
1288,Avery Hole Reinforcements,Binders and Binder Accessories,Sarah Bern,50208,6.23,Nova Scotia
1289,Sharp EL500L Fraction Calculator,Office Machines,Liz Price,50338,13.99,Nova Scotia
1290,Accessory13,Telephones and Communication,Vicky Freymann,50945,35.99,Nova Scotia
1291,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Pens & Art Supplies,Philisse Overcash,51462,28.15,Nova Scotia
1292,TI 30X Scientific Calculator,Office Machines,Justin Hirsh,51494,11.99,Nova Scotia
1293,Belkin 105-Key Black Keyboard,Computer Peripherals,Patrick O'Brill,51525,19.98,Nova Scotia
1294,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage & Organization,Patrick O'Brill,51525,34.76,Nova Scotia
1295,Avery Non-Stick Binders,Binders and Binder Accessories,Liz Price,52933,4.49,Nova Scotia
1296,Xerox 1920,Paper,Justin Hirsh,53025,5.98,Nova Scotia
1297,Coloredge Poster Frame,Office Furnishings,Cathy Armstrong,53894,14.2,Nova Scotia
1298,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,Cathy Armstrong,53894,71.37,Nova Scotia
1299,5125,Telephones and Communication,Cathy Armstrong,53894,200.99,Nova Scotia
1300,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Paper,Heather Jas,53953,8.95,Nova Scotia
1301,Belkin Premiere Surge Master II 8-outlet surge protector,Appliances,Justin Hirsh,54304,48.58,Nova Scotia
1302,"Global Stack Chair without Arms, Black",Chairs & Chairmats,Lena Hernandez,55075,25.98,Nova Scotia
1303,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,Patrick O'Brill,55268,4.89,Nova Scotia
1304,"Hon Metal Bookcases, Putty",Bookcases,Kristina Nunn,55367,70.98,Nova Scotia
1305,Newell 309,Pens & Art Supplies,Kristina Nunn,55367,11.55,Nova Scotia
1306,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,Binders and Binder Accessories,Shahid Shariari,56321,5.8,Nova Scotia
1307,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,Justin Hirsh,56610,43.22,Nova Scotia
1308,Flat Face Poster Frame,Office Furnishings,Khloe Miller,56740,18.84,Nova Scotia
1309,12 Colored Short Pencils,Pens & Art Supplies,Paul MacIntyre,56901,2.6,Nova Scotia
1310,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,Patrick O'Brill,57314,37.94,Nova Scotia
1311,6340,Telephones and Communication,Patrick O'Brill,57314,85.99,Nova Scotia
1312,Ultra Door Pull Handle,Office Furnishings,Mike Vittorini,57376,10.52,Nova Scotia
1313,3390,Telephones and Communication,Mike Vittorini,57376,65.99,Nova Scotia
1314,Avery 510,Labels,Liz Price,57671,3.75,Nova Scotia
1315,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Computer Peripherals,Paul MacIntyre,57700,47.98,Nova Scotia
1316,Xerox 194,Paper,John Grady,58407,55.48,Nova Scotia
1317,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Office Furnishings,Ricardo Emerson,58593,70.71,Nova Scotia
1318,Avery 474,Labels,Chuck Clark,58884,2.88,Nova Scotia
1319,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Tables,Chuck Clark,58884,85.29,Nova Scotia
1320,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Paper,Sarah Bern,58913,6.48,Nova Scotia
1321,Xerox 193,Paper,Kristina Nunn,58978,5.98,Nova Scotia
1322,Nu-Dell Executive Frame,Office Furnishings,Matt Abelman,229,12.64,Nova Scotia
1323,Newell 326,Pens & Art Supplies,Sarah Jordon,706,1.76,Nova Scotia
1324,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,Sally Matthias,1285,130.98,Nova Scotia
1325,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,Sally Matthias,1285,218.75,Nova Scotia
1326,Xerox 1973,Paper,Sally Matthias,1313,22.84,Nova Scotia
1327,Hon 4-Shelf Metal Bookcases,Bookcases,Theone Pippenger,1346,100.98,Nova Scotia
1328,#10 Self-Seal White Envelopes,Envelopes,Art Ferguson,1699,11.09,Nova Scotia
1329,Ibico Covers for Plastic or Wire Binding Elements,Binders and Binder Accessories,Jack O'Briant,2208,11.5,Nova Scotia
1330,Hewlett Packard LaserJet 3310 Copier,Copiers and Fax,Jack O'Briant,2208,599.99,Nova Scotia
1331,Hon Non-Folding Utility Tables,Tables,Nathan Cano,2656,159.31,Nova Scotia
1332,Accessory13,Telephones and Communication,Nathan Cano,2656,35.99,Nova Scotia
1333,Xerox 1927,Paper,Michael Granlund,3361,4.28,Nova Scotia
1334,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,Michael Granlund,3361,5.85,Nova Scotia
1335,Logitech Access Keyboard,Computer Peripherals,Steve Carroll,3393,15.98,Nova Scotia
1336,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Office Furnishings,Steve Carroll,3393,9.48,Nova Scotia
1337,Wilson Jones® Four-Pocket Poly Binders,Binders and Binder Accessories,Scott Williamson,4487,6.54,Nova Scotia
1338,Satellite Sectional Post Binders,Binders and Binder Accessories,Dennis Bolton,4579,43.41,Nova Scotia
1339,Newell 346,Pens & Art Supplies,Sean Wendt,5061,2.88,Nova Scotia
1340,"Bush Cubix Collection Bookcases, Fully Assembled",Bookcases,John Castell,5092,220.98,Nova Scotia
1341,Xerox 1892,Paper,John Castell,5092,38.76,Nova Scotia
1342,DIXON Oriole® Pencils,Pens & Art Supplies,Art Ferguson,5511,2.58,Nova Scotia
1343,StarTAC Series,Telephones and Communication,Art Ferguson,5511,65.99,Nova Scotia
1344,3.6 Cubic Foot Counter Height Office Refrigerator,Appliances,Jack O'Briant,5799,294.62,Nova Scotia
1345,Accessory21,Telephones and Communication,David Philippe,5890,20.99,Nova Scotia
1346,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Office Machines,Chad Sievert,6596,500.98,Nova Scotia
1347,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,Matt Abelman,7015,40.98,Nova Scotia
1348,T65,Telephones and Communication,Matt Abelman,7015,195.99,Nova Scotia
1349,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders and Binder Accessories,Shaun Weien,7106,14.27,Nova Scotia
1350,Gyration RF Keyboard,Computer Peripherals,Shaun Weien,7106,159.99,Nova Scotia
1351,Fellowes Super Stor/Drawer®,Storage & Organization,Shaun Weien,7106,27.75,Nova Scotia
1352,StarTAC 8000,Telephones and Communication,Maya Herman,8007,205.99,Nova Scotia
1353,Epson DFX5000+ Dot Matrix Printer,Office Machines,David Philippe,8257,1500.97,Nova Scotia
1354,Xerox 1910,Paper,David Philippe,8257,48.04,Nova Scotia
1355,Newell 320,Pens & Art Supplies,David Philippe,8257,4.28,Nova Scotia
1356,Accessory36,Telephones and Communication,Sally Matthias,8773,55.99,Nova Scotia
1357,"Master Giant Foot® Doorstop, Safety Yellow",Office Furnishings,Michael Granlund,9057,7.59,Nova Scotia
1358,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,David Philippe,9285,40.98,Nova Scotia
1359,Boston 16701 Slimline Battery Pencil Sharpener,Pens & Art Supplies,Chad Sievert,9861,15.94,Nova Scotia
1360,Global Adaptabilities™ Conference Tables,Tables,Jack O'Briant,9922,280.98,Nova Scotia
1361,Eldon® Wave Desk Accessories,Office Furnishings,Chad Sievert,9923,2.08,Nova Scotia
1362,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,Chad Sievert,9923,370.98,Nova Scotia
1363,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Binders and Binder Accessories,Chad Sievert,9925,41.94,Nova Scotia
1364,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Binders and Binder Accessories,Chad Sievert,9925,5.28,Nova Scotia
1365,Boston 1730 StandUp Electric Pencil Sharpener,Pens & Art Supplies,Chad Sievert,9925,21.38,Nova Scotia
1366,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Computer Peripherals,Sally Matthias,10593,15.98,Nova Scotia
1367,Howard Miller Distant Time Traveler Alarm Clock,Office Furnishings,Sally Matthias,10593,27.42,Nova Scotia
1368,"Carina Mini System Audio Rack, Model AR050B",Storage & Organization,Ivan Liston,11969,110.98,Nova Scotia
1369,Bush Advantage Collection® Round Conference Table,Tables,Ivan Liston,11969,212.6,Nova Scotia
1370,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,Ivan Liston,11969,349.45,Nova Scotia
1371,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,Brad Norvell,12228,130.98,Nova Scotia
1372,2160i,Telephones and Communication,Brad Norvell,12228,200.99,Nova Scotia
1373,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",Appliances,Ken Heidel,12355,3.95,Nova Scotia
1374,Logitech Cordless Navigator Duo,Computer Peripherals,Michael Granlund,12389,80.98,Nova Scotia
1375,"SimpliFile™ Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage & Organization,Michael Granlund,12389,11.35,Nova Scotia
1376,Xerox 1882,Paper,John Castell,12710,55.98,Nova Scotia
1377,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Sally Matthias,13636,880.98,Nova Scotia
1378,Newell 307,Pens & Art Supplies,Ken Heidel,14021,1.82,Nova Scotia
1379,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Office Machines,Mike Kennedy,14338,200.97,Nova Scotia
1380,Canon MP41DH Printing Calculator,Office Machines,Charles Sheldon,14406,150.98,Nova Scotia
1381,"Tennsco Lockers, Gray",Storage & Organization,Charles Sheldon,14406,20.98,Nova Scotia
1382,Accessory4,Telephones and Communication,Charles Sheldon,14406,85.99,Nova Scotia
1383,"Array® Parchment Paper, Assorted Colors",Paper,Mike Kennedy,15878,7.28,Nova Scotia
1384,Tensor Computer Mounted Lamp,Office Furnishings,Matt Abelman,16133,14.89,Nova Scotia
1385,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Office Machines,Sally Matthias,16612,80.97,Nova Scotia
1386,Xerox 1997,Paper,Sally Matthias,16612,6.48,Nova Scotia
1387,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Computer Peripherals,Brad Norvell,16967,83.1,Nova Scotia
1388,Xerox Blank Computer Paper,Paper,Brad Norvell,16967,19.98,Nova Scotia
1389,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Office Furnishings,Art Ferguson,18432,10.64,Nova Scotia
1390,Holmes Odor Grabber,Appliances,Art Ferguson,18432,14.42,Nova Scotia
1391,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Appliances,Art Ferguson,18432,279.81,Nova Scotia
1392,Avery Hi-Liter® Smear-Safe Highlighters,Pens & Art Supplies,Art Ferguson,18432,5.84,Nova Scotia
1393,Avanti 4.4 Cu. Ft. Refrigerator,Appliances,Brian Derr,18464,180.98,Nova Scotia
1394,Bush Mission Pointe Library,Bookcases,Brian Derr,18464,150.98,Nova Scotia
1395,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Paper,Brian Derr,18464,6.45,Nova Scotia
1396,Revere Boxed Rubber Bands by Revere,Rubber Bands,Brian Derr,18464,1.89,Nova Scotia
1397,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,Roland Black,18754,140.98,Nova Scotia
1398,Talkabout T8367,Telephones and Communication,Roland Black,18754,65.99,Nova Scotia
1399,Avery 506,Labels,Matt Abelman,19905,4.13,Nova Scotia
1400,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Tables,Matt Abelman,19905,550.98,Nova Scotia
1401,"Iris® 3-Drawer Stacking Bin, Black",Storage & Organization,Roland Black,20256,20.89,Nova Scotia
1402,Bagged Rubber Bands,Rubber Bands,Mike Kennedy,20386,1.26,Nova Scotia
1403,V 3600 Series,Telephones and Communication,Dana Kaydos,20455,65.99,Nova Scotia
1404,Avery 506,Labels,Darren Koutras,20642,4.13,Nova Scotia
1405,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,Charles Sheldon,21379,150.89,Nova Scotia
1406,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,Steve Carroll,21766,120.98,Nova Scotia
1407,Artistic Insta-Plaque,Office Furnishings,Steve Carroll,21766,15.68,Nova Scotia
1408,Poly Designer Cover & Back,Binders and Binder Accessories,Sean Wendt,22053,18.99,Nova Scotia
1409,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Sarah Jordon,22368,39.24,Nova Scotia
1410,Hewlett-Packard 2600DN Business Color Inkjet Printer,Office Machines,Sarah Jordon,22368,119.99,Nova Scotia
1411,"Carina 42""Hx23 3/4""W Media Storage Unit",Storage & Organization,Sarah Jordon,22368,80.98,Nova Scotia
1412,Martin-Yale Premier Letter Opener,"Scissors, Rulers and Trimmers",Neil Ducich,22885,12.88,Nova Scotia
1413,Aluminum Document Frame,Office Furnishings,Sarah Jordon,22947,12.22,Nova Scotia
1414,Belkin F9M820V08 8 Outlet Surge,Appliances,Michael Granlund,23844,42.98,Nova Scotia
1415,Holmes HEPA Air Purifier,Appliances,Michael Granlund,23844,21.78,Nova Scotia
1416,Avery 520,Labels,Michael Granlund,23844,3.15,Nova Scotia
1417,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,Sean Wendt,24039,40.98,Nova Scotia
1418,Xerox 1906,Paper,Theone Pippenger,25347,35.44,Nova Scotia
1419,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Paper,Michael Granlund,25825,10.31,Nova Scotia
1420,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,Michael Granlund,25825,5.85,Nova Scotia
1421,3285,Telephones and Communication,Art Ferguson,26304,205.99,Nova Scotia
1422,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",Appliances,Roland Black,26726,4.37,Nova Scotia
1423,Hoover® Commercial Lightweight Upright Vacuum,Appliances,Roland Black,26726,3.48,Nova Scotia
1424,Avery Legal 4-Ring Binder,Binders and Binder Accessories,Roland Black,26726,20.98,Nova Scotia
1425,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Computer Peripherals,Art Ferguson,27266,115.79,Nova Scotia
1426,DAX Solid Wood Frames,Office Furnishings,Sean Wendt,27396,9.77,British Columbia
1427,Newell 310,Pens & Art Supplies,Mike Kennedy,28480,1.76,British Columbia
1428,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs & Chairmats,Matt Abelman,29158,200.98,British Columbia
1429,BASF Silver 74 Minute CD-R,Computer Peripherals,Sally Matthias,29409,1.7,British Columbia
1430,Newell 307,Pens & Art Supplies,Steve Carroll,29956,1.82,British Columbia
1431,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,Matt Abelman,30341,160.98,British Columbia
1432,Avery 51,Labels,Matt Abelman,30341,6.3,British Columbia
1433,Rediform S.O.S. Phone Message Books,Paper,Matt Abelman,30341,4.98,British Columbia
1434,GBC DocuBind 200 Manual Binding Machine,Binders and Binder Accessories,John Castell,30467,420.98,British Columbia
1435,Xerox 227,Paper,Neil Ducich,30785,6.48,British Columbia
1436,Peel-Off® China Markers,Pens & Art Supplies,Neil Ducich,30785,9.93,British Columbia
1437,Presstex Flexible Ring Binders,Binders and Binder Accessories,Parhena Norris,31171,4.55,British Columbia
1438,Model L Table or Wall-Mount Pencil Sharpener,Pens & Art Supplies,Mike Kennedy,31297,17.99,British Columbia
1439,Staples Colored Bar Computer Paper,Paper,Mike Kennedy,31297,35.44,British Columbia
1440,Multimedia Mailers,Envelopes,Sean Wendt,31553,162.93,British Columbia
1441,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,Matt Abelman,32706,399.98,British Columbia
1442,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Office Machines,Roland Black,33122,400.97,British Columbia
1443,Binder Posts,Binders and Binder Accessories,Ken Heidel,33570,5.74,British Columbia
1444,Epson DFX5000+ Dot Matrix Printer,Office Machines,Ken Heidel,33570,1500.97,British Columbia
1445,i470,Telephones and Communication,Ken Heidel,33570,205.99,British Columbia
1446,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,Sarah Jordon,33893,35.89,British Columbia
1447,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,Sarah Jordon,33893,5.85,British Columbia
1448,Deflect-O® Glasstique™ Clear Desk Accessories,Office Furnishings,John Castell,34599,7.7,British Columbia
1449,Xerox 197,Paper,John Castell,34599,30.98,British Columbia
1450,Acme® Box Cutter Scissors,"Scissors, Rulers and Trimmers",Bart Watters,34721,10.23,British Columbia
1451,"Boston School Pro Electric Pencil Sharpener, 1670",Pens & Art Supplies,Sean Wendt,34787,30.98,British Columbia
1452,"Master Giant Foot® Doorstop, Safety Yellow",Office Furnishings,Mary O'Rourke,34791,7.59,British Columbia
1453,Multicolor Computer Printout Paper,Paper,Mary O'Rourke,34791,104.85,British Columbia
1454,"Memorex 80 Minute CD-R Spindle, 100/Pack",Computer Peripherals,Nathan Cano,34822,43.98,British Columbia
1455,DAX Wood Document Frame.,Office Furnishings,Matt Abelman,34853,13.73,British Columbia
1456,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,Michael Granlund,35522,99.99,British Columbia
1457,Newell 340,Pens & Art Supplies,Neil Ducich,36099,2.88,British Columbia
1458,Space Solutions Commercial Steel Shelving,Storage & Organization,Neil Ducich,36099,64.65,British Columbia
1459,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,Ken Heidel,36359,30.98,British Columbia
1460,Xerox 1923,Paper,Dana Kaydos,36901,6.68,British Columbia
1461,Fiskars® Softgrip Scissors,"Scissors, Rulers and Trimmers",Steve Carroll,37412,10.98,British Columbia
1462,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,Chad Sievert,38625,99.99,British Columbia
1463,Wausau Papers Astrobrights® Colored Envelopes,Envelopes,Chad Sievert,38625,5.98,British Columbia
1464,Avery 478,Labels,John Castell,38656,4.91,British Columbia
1465,Avery 51,Labels,Mark Cousins,38784,6.3,British Columbia
1466,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Hunter Lopez,38882,122.99,British Columbia
1467,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Paper,Nathan Mautz,39527,6.88,British Columbia
1468,Xerox 1896,Paper,Shaun Weien,39845,9.99,British Columbia
1469,Stockwell Push Pins,Rubber Bands,Nathan Mautz,39877,2.18,British Columbia
1470,"DS/HD IBM Formatted Diskettes, 10/Pack - Staples",Computer Peripherals,Theone Pippenger,40259,4.98,British Columbia
1471,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Paper,Nathan Cano,41217,55.48,British Columbia
1472,"Acme® 8"" Straight Scissors","Scissors, Rulers and Trimmers",Bart Watters,41671,12.98,British Columbia
1473,Xerox 1885,Paper,Matt Abelman,41927,48.04,British Columbia
1474,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Matt Abelman,41988,145.45,British Columbia
1475,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,Matt Abelman,41988,33.94,British Columbia
1476,"Fellowes Personal Hanging Folder Files, Navy",Storage & Organization,Matt Abelman,41988,13.43,British Columbia
1477,Xerox 1920,Paper,Scott Williamson,42692,5.98,British Columbia
1478,Xerox 227,Paper,Scott Williamson,42692,6.48,British Columbia
1479,Newell 315,Pens & Art Supplies,Nathan Cano,44007,5.98,British Columbia
1480,"Maxell Pro 80 Minute CD-R, 10/Pack",Computer Peripherals,Sean Wendt,44450,17.48,British Columbia
1481,StarTAC Analog,Telephones and Communication,Sean Wendt,44450,65.99,British Columbia
1482,Avery 506,Labels,Hunter Lopez,44610,4.13,British Columbia
1483,Xerox 220,Paper,Mike Kennedy,44999,6.48,British Columbia
1484,Avery Durable Binders,Binders and Binder Accessories,Mike Kennedy,45025,2.88,Manitoba
1485,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",Appliances,Mark Cousins,45248,3.95,Manitoba
1486,T28 WORLD,Telephones and Communication,Mark Cousins,45248,195.99,Manitoba
1487,Accessory6,Telephones and Communication,Roland Black,45249,55.99,Manitoba
1488,Avery Poly Binder Pockets,Binders and Binder Accessories,Bart Watters,45570,3.58,Manitoba
1489,Hon 94000 Series Round Tables,Tables,Matt Abelman,45731,296.18,Manitoba
1490,Xerox 1932,Paper,Parhena Norris,46375,35.44,Manitoba
1491,232,Telephones and Communication,Parhena Norris,46375,125.99,Manitoba
1492,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Mike Kennedy,46885,22.72,Manitoba
1493,Colored Push Pins,Rubber Bands,Mike Kennedy,46885,1.81,Manitoba
1494,"Howard Miller 16"" Diameter Gallery Wall Clock",Office Furnishings,Mike Kennedy,46885,63.94,Manitoba
1495,Wilson Jones® Four-Pocket Poly Binders,Binders and Binder Accessories,Mike Kennedy,46948,6.54,Manitoba
1496,Southworth 25% Cotton Premium Laser Paper and Envelopes,Paper,Theone Pippenger,47267,19.98,Manitoba
1497,KI Conference Tables,Tables,Theone Pippenger,47267,70.89,Manitoba
1498,Accessory24,Telephones and Communication,Sally Matthias,47333,55.99,Manitoba
1499,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Dana Kaydos,48167,122.99,Manitoba
1500,Xerox 224,Paper,Dana Kaydos,48167,6.48,Manitoba
1501,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,Dana Kaydos,48167,349.45,Manitoba
1502,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,Dana Kaydos,48230,29.18,Manitoba
1503,"Carina 42""Hx23 3/4""W Media Storage Unit",Storage & Organization,Dana Kaydos,48230,80.98,Manitoba
1504,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,Sean Wendt,48480,370.98,Manitoba
1505,T28 WORLD,Telephones and Communication,Nathan Mautz,48614,195.99,Manitoba
